,query,intent
766,"did i buy too many donuts recently, like last week",71
456,don't know,121
1871,does the bellagio have any reservations,9
2434,link up my paycheck for direct deposit to my account at chase,108
1642,do you have animal companions,34
430,what are you capable of answering,115
1921,"this was fun, see you around bye",114
2490,what hobbies do you have alexa,15
1496,did i put vacuuming on my todo's,48
2561,what is the amount i owe on my phone,27
2638,please play the song that goes doo doo doo,106
1057,how much psi is in my car tires,98
3028,how long does it take to become an architect,42
2389,change back to factory settings,88
2843,what do i need to jump start a battery,17
2512,book a flight from philadelphia to atlanta on june 5th and returning on june 8th,63
1164,can you subract 36 from 5,138
1140,i need you to schedule an uber pickup for me and three other people at 7pm to go to abe's pizza,39
1324,roll a 6 sided die and tell me the result,92
2104,"what is it at, the ac temperature",10
1295,don't sync with my phone,130
2472,my credit limit needs to me changed,109
1515,i need to switch accounts,51
2355,malignant is spelled how exactly,73
2803,were you born in the 80s,99
1817,provide me the name of your boss,57
786,what's the status of my medical leave,101
1862,are reservations taken at spago in beverly hills,9
2653,add a doctor's appointment to my calendar for friday,105
955,"can you give me some fun suggestions for tourists to check out in las vegas, please",149
1520,"i need a w2 form, how do i get one",122
242,what's the date of my next paycheck,79
2425,what might i need to do to direct deposit my paycheck,108
2115,please turn on the hallway lights,10
1127,what do i have going on for 12/03/2019,60
2598,give my gps location to jason,58
2395,now restore the original settings,88
1539,where can i get the form for my taxes,122
2479,can you help me increase my credit limit,109
1386,remind me to do something,53
2436,please show me how to set up my paycheck for direct deposit to my chase account,108
2613,where do i redeem my credit card points,6
605,how long is the drive to the closest gas station,78
2990,why was my credit card not accepted,49
880,how well is the gas mileage while i'm in the city,142
23,move two hundred dollars to my chase savings account to my wells fargo checking account,133
2450,where can i find my voca account's interest rate,7
2267,"should i go to okinawa, does it require an international visa",59
1632,is there a routing number for wells fargo,45
2675,i am curious to know if you are a bot,117
813,do you know what my precise credit score is,69
2688,how much gas does my car currently have,110
979,could you list my health benefits,74
1764,i want to know when is the next holiday,140
2326,how do i get to the movie theater by bus,72
2068,i want to report fraud on my american express,70
1707,in australia what outlet type do they use,120
28,please transfer half of my funds to an alternate account,133
2385,switch back to factory settings,88
2566,what's the amount due on my vet and vehicle registration bills,27
2660,are you secretly real,117
2997,do you know why my card was declined at target i can't figure out why,49
2551,"message carl, you suck",26
596,who programmed you,96
2691,what's left in the tank,110
1316,you have my gratitude,124
2692,how much gas do i have left,110
2321,"where is the closest red lobster to my location right now, which is 5th avenue",72
1656,"which type of pet would you rather possess, a cat or a dog",34
1717,how are british plugs,120
227,change your language setting to spanish,29
2515,i'm looking for a back and forth flight from lax to portland for w to sunday,63
3069,how does cybersecurity work,42
2525,did i add salt to my shopping list,43
1643,do you have any animals,34
2619,how do i get my rewards from my visa card,6
3089,where do eggs come from,42
2636,can i hear the song that starts out doo doo doo,106
2827,i need to book a car rental in las vegas,40
2251,please stop it,147
1372,how long should i cook ham for,86
3053,is marijuana addictive,42
1225,how much pto have i used so far,148
833,what new credit card should i submit an application for,91
397,were you made here,77
45,10 minutes is the setting for the timer,32
1835,what's my credit limit for my visa card,41
439,what kind of questions can you answer,115
1236,how many day off i have taken,148
2656,"on the 22nd of this month, we need to clear our calendar so we can leave it open for mark to visit",105
259,how much is on my paycheck this week,79
465,find step by step instructions on how to change my oil,3
1928,this was a nice conversation,114
1574,how many calories are in a donut hole,135
1977,tell me the title of the song playing,21
275,how long does it usually take for a new credit card to come,90
2266,"if i go to brazil, do i need to get an international visa",59
1898,is my order here,84
2369,hey what's up,82
2975,please send me more checkbooks,127
2020,what if any meetings do i have today,19
249,when was i paid most recently,79
603,how long is it going to take me to get to bellevue,78
22,put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account,133
1460,i'd like alarms set for 11am and 132pm,83
278,when will i get my replacement card,90
947,give me location for tourist destination in bangkok,149
3058,how do i get better at go,42
2497,what do you find fun,15
1411,i have a card that was lost i need to report,12
881,how's my gas mileage in citys,142
291,what time is it over in pacific time,4
265,what is the length of time it takes a new card to get mailed to me,90
2196,how much do i need to pay in tax,94
209,give me a cool fact about lsd,129
411,i'm out of kleenex so will you put that on my shopping list,125
2531,do i have butter on my list,43
2238,put whisper mode on,14
158,is there any danger going to brazil,128
1482,instruct me what to do,48
2873,whats a good chinese dinner suggestion,46
15,"would you translate a sentence into russian for me, please",61
885,how many miles per gallon does my amc rambler get,142
157,have the riots in france triggered any alerts for people traveling to there,128
1909,i want to update my pin number on my bank of america account,89
2122,could you book me a hotel in afghanistan at the zoo for the 10th to the 15th,116
1177,what is the derivative of x squared plus 5,138
642,what timezone do ho chi minh use,66
308,has my card application successfully gone through,103
388,where are you from before you got here,77
2928,order more paper towels from amazon,16
1046,what is the tire pressure of the car,98
1221,what is the total day off have i taken,148
1422,is it ok to use ketchup instead of mustard,134
370,my name is jason,144
3099,why is there fake news,42
846,what do i do if my luggage is lost,113
598,what company designed you,96
811,how is my credit looking,69
2363,heyo,82
2090,convert 2 cups to liters,31
88,tell me all about the meaning of life,22
1630,let me know chase's routing number,45
801,look up my fico credit score,69
1869,can i make reservations at grub burger,9
525,i would like to try and confirm that i have a reservation at applebee's for kristen,85
2325,where is the nearest walmart,72
1472,please set an alarm for me,83
1490,have i added anything to my todo list,48
1762,the next holiday is when,140
1767,is there a holiday this month,140
926,you are not wrong about that,107
1067,i meant no,30
458,i don't have an answer for that,121
838,how does one apply for a master card,91
2386,i want you to go back to factory settings,88
2505,i want to find a round trip flight from denver international to new york international on the 8th to the 16th,63
2079,"i would like to report a fraud on my wells fargo card, please",70
903,when should i change my oil,123
407,"i'm out of apples, add that to my list",125
1291,unsync yourself from my phone please,130
615,how long to washington dc on a bus,78
2914,i would like to know what my income is,93
2607,please redeem my credit card points,6
705,are there any vegan restaurants in my town,145
1362,how long do i need to cook lasagne for,86
2558,send a text to mom saying i'm on my way,26
1998,using my card in tulsa won't cause me to be charged extra will it,137
1863,am i able to make reservations at spago in beverly hills,9
1128,where do i have to be on 12/03/2019,60
2545,please send a text to danny saying that i'm running late,26
2923,place an order for bread,16
3072,which nations are not democratic,42
61,i want to know what trenchant means,139
2272,will i need an international visa to go to madagascar,59
2095,how many ounces in a liter,31
2738,add what i am listening to to my road trip playlist,141
2173,what's the humidity today,5
210,tell me a fun fact about the moon landing,129
3056,what's the best opening gambit for a game of chess,42
312,i would like to know if my visa card application has been approved,103
2641,"you can remove the wedding from my calendar for march 12, 2019",105
1191,i would like to get today's date,95
2486,what are your hobbies,15
14,i want to know how to say goodbye in france,61
976,what plan am i paying for,74
1319,you have my sincere gratitude,124
844,i think i lost my luggage,113
904,how long does it take before you have to change your oil,123
1722,can you tell me when i ought to switch out my tires,47
290,what time is it in pacific standard time,4
622,do you think my name is jeff,11
776,how much have i spent on shoes recently,71
2281,are there any necessary shots required before travel to thailand,52
2643,"you can remove the dinner party from my calendar for january 21, 2019",105
2973,i just used my final check order more,127
2552,tell carl that he sucks,26
30,make an eft to my savings from my checking account,133
