,query
7787,Design a function in Python to sort a list of numbers in increasing order using a recursive insertion sort algorithm.
15112,Design a python code for validating an email address.
12088,Generate a rotating cube in Python using OpenGL.
2538,Generate a python program to convert a given string of mathematical expression from infix notation to postfix notation.
16329,Develop an AI prediction model for a given dataset in Python.
5433,List the IPsec status using the Vici interface.
1520,Develop a neural network model in Python to recognize a hand-written number.
7279,"Build a classifier in Python using a scikit-learn that can predict a person's gender based on the data of the height, weight, and age."
8823,Create a program in Python which takes a string and finds the number of each English vowels.
15096,Create a class in Python that takes two parameters and prints them as strings.
16652,Generate a Python code to print the symmetric differences between two sets.
10619,Build a Python script that makes automated requests to an online dictionary API and prints out the definition of a given word.
10726,Optimize a Python program for calculating the sum of the first N numbers.
15051,Create a code snippet in Python to sort the following array in ascending order.
4021,Create a Python program to find the longest consecutive sequence of integers in an unsorted array.
8562,Create a neural network model in Python to classify movie reviews into positive and negative categories.
5947,Write a Python program that sorts a given array of numbers in ascending order.
15389,Create a Python function to check whether a number is divisible by another number or not.
7693,Write a Python program that can accept an arbitrary number of parameters and print them all out together.
9456,"Using Python, write a program to find the most common element among a list of numbers"
1783,Create a program in python to count the occurences of a given word in a sentence.
16635,Write a Python program to optimize the given linear objective function using the Simplex algorithm.
15943,Create an algorithm in Python to find the longest increasing subsequence from a given set of numbers.
1334,Create a python function that is able to parse a input string and extract all words that have at least 4 characters.
7161,Create a function in Python that will convert a given string of text into its equivalent URL-safe slug format.
6343,Create an API in Python that takes in an integer as an input parameter and returns whether the number is prime or not.
16278,Generate a Python function to convert a given time in 24-hour format to 12-hour AM/PM format.
14625,Develop a script in Python to find all numbers in a given string.
15447,Create a Python program to identify most frequent value
756,Create a Google Cloud Function in Python to parse an incoming JSON object and extract its values
14509,"using the following Json as an example, write a Python program that reads this Json into an object."
4088,Write a Python program to calculate the sum of the squares of all numbers from 0 to 10.
14019,Design a class in Python that takes two numbers as parameters and returns a multiplication of them.
15691,Develop a custom classifier in Python to detect malicious URLs.
4326,Design a Python function to replace all occurrences of ‘x’ in a string with ‘y’.
17018,Construct a program in Python which reverses each word of a given sentence.
8320,"Generate a function in Python that takes a list of strings as an argument and then returns an output list that consists of the strings. Each item in the output list should be in the same order as in the argument list, but with all the vowels replaced by an underscore character '_'."
4226,"Create a REST API in Python that implements a To-Do list application. The API should include endpoints for adding, editing, and deleting To-Do list items."
10608,Optimize a given Python function to make it more efficient.
5348,You need to optimize a given Python code for improving speed.
12198,Develop a program using Python and TensorFlow to perform sentiment analysis of a given text.
11352,"This code is a test for the GIRepository module. To run the test, execute the script. The test checks various aspects of the module, such as argument info, base info, object info, interface info, struct info, enum info, union info, type info, field info, property info, callable info, method info, vfunc info, flags double registration error, enum double registration error, introspected argument info, and more. The test should pass without any errors or failures."
6839,Create a function in Python that takes four parameters and returns the highest value.
2677,Write a Python program to print the count of all even numbers in the given list.
17046,Write a python program to sort a list of dictionaries based on a particular key.
8276,Generate a Python program to train a model to predict the number of accidents that happened in a city given the population size and budget of the city.
1892,Create a Python script that connects to a database and displays a list of table information for an SQL database.
17272,Construct a Python dictionary based on the following data
7538,Optimize the following Python code to minimize memory consumption and maximize speed.
13414,Edit the existing Python program so that it rounds a number to the nearest whole number.
2868,Create a Machine Learning model in Python that uses a Logistic Regression algorithm to predict the outcome of a given input.
13724,Create a Python script to parse a sentence and check if it is grammatically correct.
4836,Create a Python program to extract the email and phone numbers within a given string.
17963,Develop a Python program to generate random sentences from a given grammar.
