,query,Response
3152,"We weren't long distance until he joined the military.  I love him and I know he loves, me but it's complicated. He said he's not going to find someone else, but I'm afraid. How do I keep our relationship going?","You're right that long-distance relationships can be complicated. If he loves you and you love him, that's a great start. I wonder if you would be able or willing to have a discussion about what you love about each other and what makes each of you feel loved, valued, special, and appreciated.When having important discussions, consider the following:Make sure it is a good time to have a discussion (and if you're doing it in writing because of the distance, you could type something in the top of the message about not reading any further if the person who is reading doesn't have 10 minutes or something like that)Try to listen as though you are an investigative reporter trying to find out information about each other. Asking more questions in this manner can be a helpful way to be less defensive during difficult or emotional conversations.When having discussions face-to-face, I often recommend using timeout when things become very emotional and saying that you agree to go back to the conversation in 15 minutes or one hour or some short duration of time that allows for some of the immediate emotions to dissipate so it is easier to also talk about them. As for how that translates to distance, maybe each of you would say that you are working on figuring out how best to explain it and will answer the next time you have access to the Internet (or, if possible, use some kind of timeframe).Consider what questions you would like answers to. For example, are you wondering:What should I do if I miss you or want to talk to you more? I don't want to make you feel guilty, but I also don't want to hide my feelings. Can I share them with you?If you have days or weeks when we cannot be in contact directly, can I keep sending you messages or is that overwhelming?How will you ask for support from me?Some couples really want to protect each other. In doing so, instead of hiding our emotions, can we share them and work through them together?Whatever else comes to mind.Gary Chapman is famous for his books about the 5 Love Languages. He has one specifically for military families: The 5 Love Languages Military Edition: The Secret to Love That Lasts.Here's a list of books related to loving from a distance: http://www.longdistancerelationships.net/bookstor.htmI have not read these books myself, but I have read other works by a lot of the authors.One final tip: Consider making a list of times when you work together and both feeling calm, safe, and comfortable. These memories could be helpful to you during difficult moments.Best wishes to you. Remember that you could each see therapists in your respective locations if that would be helpful to you."
2603,"I've had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but it’s so vivid, it’s like it’s happening again. I'm scared and paranoid. I have depression, which I have been struggling with since a young age.","Post traumatic stress disorder (PTSD) is a very complex issue.  It is the root cause of many other issues including depression, anxiety and anger to name a few.  Re-experiencing the event is a telltale symptom of PTSD.  One of the best things you can do for yourself is to find someone who specializes in this area to help you work through the symptoms associated with this disorder as well as directly addressing the event/events that initially caused the symptoms.  There are various treatment methods available to helping professionals that are successful in treating this disorder.  In the meantime there is a book called ""The Body Keeps the Score"", it is informative and may be helpful for you on your journey.  It is my hope that you are not dealing with this alone.   Best wishes!"
3246,"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","First, thank you for sharing such deep personal information. It can be difficult to share such intimate information. To begin, it sounds likes your primary concern your desire to speak to someone who takes your mental health seriously. You've tried talking to your parents and your friends and neither have made that connection in the area you need. I'm sorry to hear that. it's unfortunate. However, I think a couple things can be done to try to address this. If you want support1) Parents- Sit down with one of them and tell them with all seriousness that you need to talk about something that is affecting you deeply. Perhaps speaking to both can be too much for one room. If you try to speak to mom or dad by themselves, it may create that intimate atmosphere needed to understand where you are coming from. 2) Friends: Like parents it can be difficult to speak to your friends about challenges with your mental health. When you're feeling down and anxious, friends can be great help or not their at all. With friends, it may be one of those things where you also need to create an intimate environment with one friend to speak to about your sadness and anxiety. If anything, speak to the fact you're hurt and help them understand that if they can't understand the depressionIf you don't want support Coping Strategies: Identify coping skills and strategy that help you when you're feeling down. Ideas:A.) JournalingB) PaintingC) ExerciseD) MusicE) Reading AffirmationF) Listening To Motivation Videos"
2274,I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I don't care about having boobs or anything. I just feel like the way that I do act will make more sense if I was a girl.,Gender is personal thing.  There is not just boy and girl.  It is ok to be a boy and feel feminine and date women.  It is also ok to be a transgendered women and date women.  Have fun with it and feel it out.  What is right for you? 
809,How do I decide if I should end my relationship with my boyfriend?,This is a very personal decision that you make when you have evaluated the issues in your couple that you feel are affecting your happiness and well being in your couple. I recommend completing a compatability checklist to evaluate which areas are making you unhappy. It is important to discuss these feelings with your partner and determine if together you want to work on these differences. If there is no agreement to working together to resolve the issues  and you cannot accept the issues as they are then a break up may be best.
149,"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?","From whom do you get anti-depressants?This person should be talking with you to know whether the pills are helping or not.Trust your own instinct that the pills aren't helping you.Pills work differently for everyone and not all people feel better from them.It is also possible the particular pills have lost their effectiveness because after around six to eight months, this usually happens.Try to understand what is depressing you.  This is slow work since you may have many theories.Just by addressing your own emotional needs and life structure in a caring and respectful way, may improve your mood so that you'll feel less depressed."
2684,What should I do when we see each other?,I am so sorry this happened.  Sharing a part of your private life without your permission can be so painful.  I might suggest (depending on your relationship) reaching out to your sister and discussing this (or setting boundary that you don't want to discuss your private life).  I might also speak with your wife and share how hurt you are and what you need to happen moving forward to begin to heal.  
1831,"I was “mentored” by this guy for a few years spiritually. It was okay at times, but other times, it was just weird. I try not to think about it too much, but a lot of manipulation and lying happened, yet no one else really believed me when I told them. It's like he's two different people, and no one else really sees that side of him. I was blamed for a lot of our troubles, and now we don't really talk much. I'm worried because he's in a trusted position of leadership and no one suspects anything. They just think I'm attacking his character. How do I know for sure?","It doesn't really matter what the actual diagnosis is, and whether or not he is an actual psychopath, he has manipulated and lied to you, and that is enough reason for you to stay far away from him. Men (and women) with these characteristics can become violent. They can also make your life difficult by creating financial or legal trouble for you. Again, forget about him, and contact the police if you think he is in a position to harm others."
71,"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.","It could be really helpful to see a counselor/therapist about your increasing depression/panic symptoms. Finding out the cause of depression/anxiety isn't always as straightforward as it seems, since both issues tend to become patterns we engage in rather than solely related to a specific trigger/reason. For example, if I am feeling down about a particular circumstance in my life, then I start seeing life through this lens of feeling down, and typically I'll start to see a lot more that I get down about, and it can really build very quickly on itself. Same with anxiety. Obviously, this is a very simplified example and it can be very difficult to see how the pattern is maintained, but that's where working with a counselor/therapist comes in. I would be curious about whether you can start to notice the initial sensations of panic, and if you can (through the panic attack) continue to maintain awareness of the actual physical sensations. Even better if you can talk yourself through the sensations you're feeling - such as saying to yourself ""Okay, I'm breathing really rapidly, and my heart is racing, now my palms are sweaty and my chest is feeling really tight..."" Reminding yourself that it's just your body's reaction to stress, and while it might be overreacting right now, you're okay and eventually it will go away. I highly recommend the SAM for Anxiety Management app for the anxiety piece, and I wouldn't be surprised if addressing the anxiety helped to address some of the depression too."
1973,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","This is a great question! I personally don't believe that any client could ever have too many issues for counseling. In fact, that type of thinking may be stopping you from seeking counseling, so it may be hindering you from getting the help you need. In fact, all of what you described points to the importance of you seeking help in order to cope with the many challenges in your life. If you seek counseling, it will be important for you to understand that you may need to remain in counseling for a sustained period of time in order to work through each of these issues. All of these issues won't be able to be solved right away or in a brief period of time. Counseling will take commitment and hard work, but it is possible for you to recover and heal from all of the issues you described.Many clients come into counseling with numerous issues rather than just one particular thing. Most of the time, the issues relate to and exacerbate each other. We call these ""comorbid"" conditions, which means that two or more mental health problems exist at one time. A lot of the times, when you start to work on one issue, the other issues get better as a result.I encourage you to find a professional therapist that can help you learn how to cope with all of the mental health difficulties that you described. You deserve the help just as much as anyone else."
2799,"I'm in college currently, so I am not a direct victim anymore. My father is very abusive with his words and actions, and my siblings are getting treated horribly.","Yes you can help!  Emotional and verbal abuse can cause a negative impact in your family.  It is important that you encourage your siblings to seek assistance with a therapist, and maybe help them find one, they should have school counselors available and if not our college counselor may help you to get referrals.  It’s also a good idea to talk to your mom about the issue and ask her if she would like help as well.  If you are concerned about your siblings' safety, contact Family Protective Services in your state, they will investigate and refer your father to classes or therapy as needed. It takes courage to do the right thing, you can do this!¿Hay algo que pueda hacer para ayudar a mis hermanos a escapar de nuestro emocionalmente abusivo padre?Actualmente estoy en la universidad, así que no soy victima directamente.  Mi padre es muy abusivo con sus palabras y acciones, y trata a mis hermanos horriblemente.¡Tu si puedes ayudar!  El abuso emocional y verbal puede causar daños graves en la familia.  Es importante que motives a tus hermanos a visitar e incluso encontrar a un terapista, la escuela debe tener uno disponible, y también puedes pedirle referidos a tu Consejero universitario.  También es buena idea que hables con tu mama al respecto y le preguntes si a ella le gustaría buscar ayuda.  Si te preocupa la seguridad de tus hermanos, contacta a el Departamento de Protección a la Familia en tu estado para reportar el abuso.  Ellos investigaran y determinaran si el hogar es un ambiente seguro par tus hermanos y recomendaran terapia o clases para tu papa.  Hay que ser valiente para hacer lo correcto, ¡tú puedes hacerlo!"
1872,"I keep having these random thoughts that I don't want. Things like ""you aren't worth anything."" I know they're my own thoughts but it feels like someone else is saying it.
   What is wrong with me, and how can I stop having these thoughts?","There is nothing wrong with you! Sometimes we get intrusive thoughts that can be worrisome. One things that can be helpful is to identify if there is a trigger to these thoughts - something in your life that makes these thoughts more common (an experience, a person, a place, a situation, etc.). It will also be helpful to try and challenge this type of thinking by focusing on ways in which you are worthwhile as a person and have worth in your life. CBT (Cognitive Behavioral Therapy) may be particularly helpful with this, also. If you are open to seeing a therapist, find one that does CBT. You can also find resources on CBT online. It focuses on stopping and challenging unhelpful and harmful thinking patterns and replacing it with more helpful and healthy thinking patterns."
2251,"She was raised by her abusive father and his wife. 30 years ago I shot and killed my rapist and was convicted in Louisiana. I lost custody of my daughter and served 5 years. When I was released, she was 5 and didn't remember me. Many many sad memories came from my having to leave her visit after visit, having to leave her in Texas to travel back to Louisiana. She doesn't remember that. I do.
Over the years, I thought we had developed a close mother daughter relationship. She gave me good reason to doubt that on several occasions but especially last year. I have been cruel to her verbally and to my son who I met years after giving him up for adoption. Last night, I was angry at the world and afraid of God. I drank and cussed out a maintenance worker for not doing his job 4 months running. Now I'm not only feeling guilty for that but afraid of being evicted now. Help.","Was either parent abusive or violent toward you?You sound to have suffered emotionally in your relationships since early in life.One point to consider is to strive for moderation in what you offer in relationships.A lot of what you've lived through is extreme, either as victim or perpetrator.If you imagine that apologizing to the custodian for the way spoke to him, would calm him down, do so.At the very least, you'll be actively resolving your guilt over cussing at him, and fear of his retaliation."
1197,"I’m trying to make marriage work after a split. Before our split, he lied a lot and broke every promise to me. I don't think he cheated. Last month, I asked what women work with him, so he told me. Yesterday, I found out about a girl that he said he forgot about. Should I be upset?","Are you upset, is the more pertinent question.Everyone has their own tolerance for lies and their unique reasons for being married.  Trust your own answers to the question you ask here.Also, think over the value of your marriage in your life and whether you are able to live with the unstable sense of trust that you have in your husband.Remember too, that if you are the only partner who is trying to make the marriage work, then your job is much harder than if your husband actively participated in making the marriage happier for the couple."
2298,"I don’t love my sister. I would never wish her harm, but if I could, I would wish for us not to be related. Is this cruel? Why must blood mean we have to be friends? Am I being unreasonable and is there a way to fix this? I do care about her, like I do every human being, but I’d rather be with my friends than be with her at all. It’s not just a ""teenager phase."" I still love my mom and dad, and I’m very close to them. However, it’s my sister I don’t love or have ever really liked at all.","Hi. My guess is there's a lot of deep history here that I don't know about. Have you felt hurt by your sister in the past, or are you just 'different people'? It's a common feeling people have about siblings; that they're very different and they wouldn't choose them as friends, but most people stay connected to family unless there's a good reason not to. We don't choose our family, do we? Your feelings are normal and they don't make you cruel. If you were mean to her, that might be a different thing. It might be considered cruel to cut her out of your life for no reason, but choosing to not hang out with her a lot isn't cruel, in my mind. Perhaps you at least owe your sister kindness and respect (if she respects you), but not necessarily friendship. How you respond here is up to you; there are no rules. You get to decide how much 'family' means to you and how much time you spend with friends or family. This may shift at different times in your life though. Cutting all ties with a sister now (you haven't said you want that though) might mean she won't want to be there for you in the future when you need her. Also, how you treat your sister affects your other family members as well. There are many things to consider here, but the bottom line is that you get to surround yourself with the people you want in your life."
3286,"I'm always listening to my husband, but it feels like he never listens to me. 

How do I get my husband to listen to me instead of me listening to him all the time?","Have the two of you ever discussed how you feel?  I know given the nature of your question that's probably not likely, but I'm going to suggest it any way.  He needs to understand that how you feel about this issue equates to not being as happy in the relationship as you could be or he thinks you are.  So start there, that may be more of an attention getter than ""you never listen to me"" yes I do etc.  Direct opener:  I'm not as happy in this relationship as I think we both deserve.  Pause, and if you won't let me talk about it then it's only going to get worse.  Then explain you don't feel listened to, you try to be a good listener but you don't feel you are getting the same in return.  If he interrupts put your hand up in the sign of a stop, then say please just let me finish.  You are right to raise this subject with him because a good marriage can't exist in a communication vacuum. In fairness to him, he needs to understand the seriousness of your concern and have a chance to do better.  If he refuses,  tell him you want to seek couples counseling then do it, with him or without him."
1119,"My fiancé and I have been together for 3 years and our relationship has always been good. The only issue we had was that he felt like he wasn't getting enough sexual attention from me.    I recently found out he cheated on me with another women. He says he wants his family back but I'm confused on what to do. Is it possible for us to get past the cheating, or should I just move on?","Betrayal in a relationship can be one of the most difficult things a relationship can sustain. Sometimes feelings about the betrayal may also trigger past wounds. The fact that ""it only happened once"" may not make it any easier to move forward. I highly recommend working with a mental health professional who has experience working around the issue of infidelity. Together, you can work on healing the wounds and moving forward. I do believe it is possible to move forward, if both partners are ready and willing to do the work to move forward together and create a new vision for their relationship."
337,"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","It's totally normal to feel overwhelmed and uncomfortable in large crowds, or large family gatherings. You may worry about not fitting in, or having anything to say. It is important to have a friend or two. Try to find someone with similar interests. Maybe you can do things that don't involve a lot of face to face contact, like going to see a movie, play or sporting event. Many people are perfectly happy doing things in small groups. If you have ongoing conversations in your head, it is usually due to worry about being judged, and wanting to do or say the exact right thing, as mentioned above. Finding someone to talk to, either a supportive friend or therapist, would allow you to get some of those thoughts our of your head, and realize that you are more accepted than you think. Good luck!"
68,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Not at all my dear. Human beings are complex creatures, and in my opinion, our issues interconnect in a very nuanced web between our levels of being (for example, mind, body, and spirit). Everything you bring up affects all three. The truly beautiful thing about the human body is that when you begin to work on one, the others improve as well!I would encourage you to seek out a counselor who's style and approach speaks to you and start with whichever issue feels most pressing to you. A skilled therapist will flow with you at your own pace and make recommendations to other professionals (e.g., physicians, holistic practitioners, EMDR specialists for trauma etc) as needed to complement the psychotherapy work you're doing with him or her to help you find the total healing you seek. I wish you well on your journey!"
496,"I have several issues that I need to work through. However, I am afraid of and do not trust therapists after a horrible experience. I'm dealing with grief and guilt over losing my sons due to drug use. I have a very complicated traumatic relationship issue that is causing me severe anxiety and fear.","I am sorry that you had this experience. Therapy should be a healthy positive experience off g growth. You have the right to look for certain high qualities in a therapist and finding the right one. Each therapist is bound by a code of ethics and clients should have high expectations. You are trusting them to guide, support and help you achieve the absolute best outcome and success. You should never be or feel judged, and you should feel comfortable and feel as though your therapy process is moving along with YOUR GOALS IN MIND. Speaking as a therapist, I encourage my clients to always let me know how they feel, even if they disagree with me, they also have the right to inform me if something I'm doing simply is not working for them, communication is critical in maintaining a healthy therapeutic alliance/ therapeutic relationship. I'm able to offer ways of thinking and strategies to my clients they may not have thought of. Its important to listen to my clients. It's also critical for clients to feel they can share in a environment that feels safe, non judgmental and confidential.Remember, you are the driver in your healing process, you should be the one in control because you know what your life struggles are. Speaking as a therapist, I'm here to guide my clients toward achieving their goals, encouraging and empowering my clients in what is meaningful to them to achieve. You should feel comfortable speaking your thoughts, my advice would look one who open hearing toy feel, even it's regarding them a therapist. That they are open to feedback.With all of that being said, it will take time to trust again but remember, ask questions and communicate with the next therapist  share  your experience and how it made you feel and that trust and being spoken  in a respectful , non judgemental and non condnscending way is critical for you. Be honest clearly state your expectations from start.  I offer free 50 minute first sessions for clients. The reason. I do this is because I feel that clients deserve opportunity observe the environment, ask me questions and have the opportunity to determine their level of comfort and decide if it's a good fit. Other therapists sometimes offer the similar, try finding one willing to offer a  consultation as that could give you the opportunity to feel things out and set forth expectations.The article below is an excellent article about what to look for in a therapist. It is worth your time reading because you are WORTH FINDING THE BEST HELP AVAILABLE! This article was written based on both evidence from research and clinical experience. I would strongly encourage anyone searching for help to read this and even use it as your guide. I hope this was helpful.https://www.psychologytoday.com/blog/insight-therapy/201603/10-ways-spot-good-therapistLaura Cassity, LMSW, LMAC"
796,"Everyone around me is much smarter and flaunts it. Everyone around me is skinny, and here I am trying to throw up so I'm not fat. Everything I do is wrong, and I can't seem to do anything right! No one else at school seems to feel the way I do! Is this normal teenage girls feelings? I don't think these feelings are normal.","There are some struggles that are less ""obvious"" than others, an eating disorder being one of them. From just your personal experience alone you might realize how easy it may seem to keep such a secret from those around you. In the same way, there are many people who struggle secretly with this problem and not many people know or even notice. So you are definitely not alone. Low self-esteem or lack of confidence in some areas are issues that EVERY teen, in fact EVERY person, has experienced at some point. These feelings are ""normal."" It sounds, though, as if these feelings of insecurity and inadequacy have begun to consume your every day thoughts and behaviors bringing you to where you are today - comparing yourself to others, purging, and feeling extreme guilt. Sometimes it's best if we seek outside help, instead of trying to tackle problems on our own. Breaking habits that come along with an eating disorder really requires the help of a doctor, nutritionist, and a therapist who can help change your perspective from the inside out! Hope this helps!"
360,"I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household.","Anxiety is overwhelming insecurity.Try to think of why you'd feel insecure or have very little confidence in your ability to complete or be in relationships.Is it possible you were very heavily criticized when you were young and growing up?Very often kids who are not encouraged to try new activities, have fun in relating to others, learn to not trust themselves to handle these fundamental parts of life.Also, if you grew up in an alcoholic or abusive family, whether the the abuse was toward you or between your parents, it is possible these scenes made you a very insecure foundation on which to trust your yourself and other people.Examine the basics of your growing up years and what may explain why you feel insecure.To improve, be patient with yourself about. making mistakes and simply try in simple, small, and direct ways to do the actions you fear and in which you also would like to participate."
564,"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.","It sounds like you have some insight into the cycle that you describe with your current relationship and at the same time you are still feeling stuck. It also sounds like the distressing feelings that you experience, when you imagine what will happen for you and your current partner, are pretty overwhelming. A competent therapist may be able to help you work through these difficult thoughts and feelings and find a resolution to this cycle that will feel right to you."
533,"Whenever I have to speak in public or be in big crowds, I freak out. I get light-headed, sweaty, and I have trouble breathing.","Basically, your response is the fight, flight or freeze reaction
which is hard wired into the human nervous system, specifically, the autonomic nervous system (called the autonomic response).  This system
is responsible for regulating the heart, digestion, respiratory rate
as well as other aspects which match the symptoms you describe.  It is largely an unconscious function, but
with training it can be managed such as a public speaking course in which you
prepare and even have some exposure to smaller experiences to help you prepare
and cope for larger presentations.  One of the greatest applications of
addressing this response is the NASA program which exposes the astronauts to situations
they will encounter while in space which will trigger the response so that when
it does happen (not if but when) that they are able to move through the
challenge with success.  You can learn
more about his by going to TED Talks “What I learned about going blind in space” It is
a truly inspiring look at what you are experiencing as well as how to deal with
it. 
With that being said, finding a program
like a Dale Carnegie Public Speaking program can help.  Working with a counselor who can help you
utilize visualization of an upcoming speech has been shown to help and you can
always talk to your doctor to see what options might be available there as
well. Good luck!"
1437,"I've been hurt by a man for five years. He doesn't involve me with the family or kids. Everyone in the family is against me. There is a Mass today for a family member, and he never asked me to go. I'm to sit home alone now and Christmas too. He expects me to sit alone while he enjoys being with the family. We are in our 50s, and it hurts that he won't even think of me or involve me as part of the family. He doesn't even care. I am leaving him as soon as possible, but I hurt so bad that I didn't know who to turn too. I'm now in this low funk of depression, and I'm scared because I do stupid things to myself and give up. I have no friends because I was a truck driver. I've been getting serious headaches and can't sleep. I don't eat; I've lost my appetite. This has been going on for a couple weeks now.","Hi Florida,I get the sense that, aside from this relationship, you're quite isolated in general. It's sad that you're feeling excluded at Christmastime and family events. While I would suggest that you don't really know what he or his family are thinking or feeling (you assume they're against you, and that he doesn't care), he is certainly behaving in a very distant, excluding manner and it's understandable that you would feel rejected and hurt. How long has this part been happening? Has he always acted this way, or is it more recent? Did something happen recently? You mentioned doing ""stupid things to yourself"", and I don't know what that means. If you are engaging in self-harm he may be confused about what to do and he might need some time to think and be separate but is having trouble talking about this. Part of the problem, of course, is that you don't know what's going on for him. Certainly, you deserve the truth, and if he doesn't want to spend time with you, I would hope he would be honest. Have you been open to hearing the truth from him? Is there any reason for him to hesitate to tell you why he's being distant? Maybe you could ask him, if you are ready to hear.I'm glad to hear that you believe that you deserve a full, loving relationship, although it seems that moving forward might be difficult for you. Is it possible your happiness is a bit too dependant on this man? I'm just guessing, based on what you've said here.  It seems that it's possible your situation has led to some depression, and I would recommend a session with a qualified therapist to help you sort this out. You will need support, even if the relationship is repaired. Best of luck."
3019,"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSM-IV, taken college psychology, etc. I know it in my heart I have them. Is self-diagnosing okay with the right research?","Hello, and thank you for your question. Self-diagnosing is something that we all do about one health issue or another. Taking a guess about what may or may not be happening to us is completely normal, however the actual clinical diagnoses of a mental health disorder requires a licensed mental health professional. Here are a few reasons for this: 1. Making a clinical diagnosis often requires other things besides matching up the symptoms of a disorder. To come to a diagnoses for any of the things you mentioned, a counselor would consult the DSM, but they may also use some type of screening tool, assessment or scale. Many disorders have similarities and it requires someone with training to tease out the differences in the symptoms. 2. Our judgement is sometimes off when it comes to assessing ourselves. We really can't be objective. Something as serious as determining a diagnosis really needs to be done by someone who has that objectivity. In addition, once you know your diagnosis, treating it usually requires help from a professional. 3. Sometimes the symptoms of a mental health disorder makes self-diagnoses impossible, in and of itself. For example, someone could be having hallucinations or delusions and not realize it. That would clearly make it impossible for them to diagnose themselves. There a many examples where something like this could happen with different mental health disorders. There are other reasons, but these are three important ones. Now, does this mean that you are wrong about your diagnosis? Maybe not. You may be correct. But, it is important to get this confirmed by a professional mental health clinician. If a disorder is then found, you can begin to talk about treatment. Hope this was helpful. Be well.Robin J. Landwehr, DBH, LPCC, NCC"
3313,I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky.  Is this normal? Should I still be feeling like this?,"It is absolutely normal to be nervous about therapy.  Many people take years to make the decision to start counseling and although it is a safe place to explore feelings, it may be the first time you are facing certain issues.  It takes courage to face issues head on.  Being nervous is part of the process.  The fact that you are continuing to go to therapy sessions despite feeling nervous demonstrates your strength.  Keep it up!"
2532,"The sounds of eating and breathing gives me headaches—mostly mouth breathing and snoring. It makes me angry, and I want to solve it myself.","Probably good to know in what type of situations you are, in which you are hearing mouth breathing and snoring.If you're sleeping beside your partner who does these actions, would have a different response than if you overhear mouth breathing and snoring from a family member who is napping on the couch and you are walking past them on your way to take a snack in the kitchen.Basically, if the person who does these actions which bother you, start by telling them.Depending on whether they are empathetic to how distressed you are from their sounds, or not, willing to change, or not, has a good deal to do with next steps.I don't really see any step you're able to take to solve that you are sensitive to human sounds from the head.One path I don't recommend is expecting yourself to ignore the fact of being feeling bothered, or dismissing your own sensitivity someone.Your needs matter."
1375,"I'm a teenage gay girl, and I'm in love with a girl a few years older than me. She loves me too, but we're not physically together at the moment. I've been thinking about being transgender soon too, but my family doesn't accept me, so I honestly don't know what to do about that because I feel like I have to constantly hide the real me. It hurts so much to hide the real me. What can I do?","Many people do not accept the reality of gender beyond male and female.Obviously if your family doesn't accept your questioning status then this feels painful.All you really can do is continue your self-examination and know you're in a non-supportive family of doing so.To know the truth about your surroundings is much better than to not know, and also much better than pretending you are not in your current phase of gender expression questioning."
3240,"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before. 

I feel like I don't  want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered  ""wrong"" by a lot of people.

How can I get myself to just move on?","It's difficult to move on and let go, especially when you've experienced things for the first time with someone, or feelings you've never felt before, as you said.I like the fact that you are looking at your situation ""logically"".  Feelings can take time to fade, but you seem to understand, even if it is subconsciously, that it's the feelings he stirred up in you that are keeping you tied to him, not necessarily the person himself. Realize that you can and will experience those feelings again with another person - the RIGHT person. Don't hold onto someone who is wrong for you just because of something like this. You're wanting those feelings and wanting a relationship - but with him necessarily? Or with anybody? You said you don't want to be without your love for him - not you don't want to be without him. In fact, you said you know you need to be without him. It seems like it's the LOVE that you can't let go of, and the feelings. Not the person. Trust me, you will find that again. Take some time to let this fade. Don't try to force him or anyone else into a role that is meant for someone else. Cherish the memories and the experiences you had. Sounds like it's been a valuable learning and growth experience for you, but you have your own reasons, and I don't know what they are, for thinking this person isn't good for you. Trust your gut instinct and be glad you've had this relationship. Not all are meant to last. But all shape you into the person you are and will become, and all teach us important lessons."
2537,"I'm a teenage girl. I don't know if I'm straight, bisexual, or gay. I've been straight all my life, but a sudden rush of questions have come over me, and I don't know anymore.","Being open minded about the type of sexual connection which feels true and real, is a solid starting point.Having questions is a very valuable way of more clearly defining your sexuality.Write one or two of your questions if you'd like a more specific focus to your general search about your sexual preference."
618,"he just walks in the house whenever he wants to see his kids. My fiancé tells me it makes her angry and doesn't like it, but she seems afraid to say anything to him about it for some reason. Is it okay for him to do this?","Do you know the reason your fiancé puts up with the ex's behavior?If not, then ask her.The answer could be anything, from some agreement the two of them made either formally or informally before you came into her life, to residual sense of obligation she feels toward him as a parent, or that she genuinely does fear his physical or verbal anger if she disagrees with what he wants.Facts are the best starting point to know how to handle a situation.There is no blanket rule and certainly no law which prohibits what he's doing.   The situation is entirely in the hands of the people involved."
3027,"When my boyfriend gets in a snit, he gives me the silent treatment for days. When I ask what is wrong, I get nothing: no reply, no phone call. If he does reply, it is something very sarcastic and hurtful. He never admits he is wrong and never apologizes.","This has to be very difficult to endure.It's pretty common for members of a couple to have different ways of resolving conflict. Very often, one person wants to deal with the conflict right away or shortly thereafter and the other person wants to wait. One thing that sometimes works is to consider having a conversation when you are not upset with one another about taking some sort of timeout and setting a timeframe for something like ""I cannot talk about this now, but we can talk about it in two hours.""My best guess is that your boyfriend is triggered by some previous relationship, either romantic or in childhood. If he is aware of something that he thinks or feels when you ask him to resolve conflict or to discuss it, it would be good to know what that is. It could even be that he's learned to handle conflict that way.Something else you could try is to have a conversation where you each discuss what is acceptable for what is acceptable for each of you during an argument and what is not. These sorts of discussions can be very difficult and you may benefit from working through them with a mental health professional who has some experience working with couples.As far as what you can do now, perhaps you can remind yourself that these things have worked out before, that you love him and believe that he loves you, or some other statements that are true for you. You may also consider finding ways to soothe yourself. For example, you may find that you like certain outdoor activities or reading a certain type of book or something else that gives you pleasure."
